data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year
2025-11-23,202548,447.5,375,547.0,280,0.0016835973,61.688488,0,1,354990420254820425,2025-12-03,,0.8294565,725419,15.01186,95.57218,0,0,1,78.89912,57.88164,18.78454,23.42708,111.0,,,,,342074
2025-11-16,202547,446.0,441,454.0,437,0.00013523134,61.48171,0,4,354990420254720425,2025-12-03,,0.79440856,725419,16.2589285714286,92.4428571428572,0,0,1,74.8866142857143,52.1869571428571,20.6344857142857,25.8783285714286,137.0,,,,,342074
2025-11-09,202546,582.0,579,586.0,579,0.7533634,80.22949,0,4,354990420254620425,2025-12-03,,1.0413901,725419,14.4697714285714,93.8945857142857,0,0,2,77.0036571428571,55.2349285714286,18.8848,24.1125857142857,184.0,,,,,342074
2025-11-02,202545,601.0,599,604.0,599,0.76064676,82.84867,0,4,354990420254520425,2025-12-03,,1.0421374,725419,17.1303571428571,94.1979285714286,0,0,2,82.5886285714286,65.6932142857143,20.496,25.1270285714286,221.0,,,,,342074
2025-10-26,202544,501.0,500,504.0,500,0.002270345,69.06354,0,4,354990420254420425,2025-12-03,,0.84222543,725419,16.2540857142857,93.1980857142857,0,0,2,79.1082,59.892,20.2291714285714,25.1443428571429,170.0,,,,,342074
2025-10-19,202543,607.0,607,609.0,607,0.5896221,83.67578,0,4,354990420254320425,2025-12-03,,1.013129,725419,11.3084714285714,91.8625571428571,0,0,2,70.3690571428571,44.0756285714286,16.0909857142857,21.9918285714286,230.0,,,,,342074
2025-10-12,202542,603.0,603,605.0,603,0.71454793,83.124374,0,4,354990420254220425,2025-12-03,,1.0334431,725419,16.8434714285714,93.9983285714286,0,0,2,76.3139,53.5955571428571,21.2652,26.6448,203.0,,,,,342074
2025-10-05,202541,594.0,594,596.0,594,0.9155696,81.88371,0,4,354990420254120425,2025-12-03,,1.0848577,725419,16.0472714285714,88.4815571428571,0,0,2,72.2922,54.3947142857143,20.1103285714286,24.6874285714286,194.0,,,,,342074
2025-09-28,202540,636.0,636,637.0,636,0.9998425,87.67347,0,4,354990420254020425,2025-12-03,,1.2373823,725419,15.3162714285714,89.3284714285714,0,1,2,66.2511,36.7679571428571,21.2159285714286,28.3406285714286,142.0,,,,,342074
2025-09-21,202539,501.0,501,502.0,501,0.7950125,69.06354,0,4,354990420253920425,2025-12-03,,1.0541414,725419,14.6527857142857,88.4834571428571,0,0,2,70.9017285714286,50.6002285714286,18.2591428571429,23.3304714285714,76.0,,,,,342074
2025-09-14,202538,559.0,559,559.0,559,0.9998755,77.058914,0,1,354990420253820425,2025-12-03,,1.2612551,725419,14.2477,94.0445428571429,0,1,2,70.8766714285714,39.5426285714286,19.6347857142857,26.6105428571429,56.0,,,,,342074
2025-09-07,202537,452.0,452,452.0,452,0.8586612,62.30882,0,3,354990420253720425,2025-12-03,,1.0754504,725419,14.4322857142857,88.1890428571429,0,0,1,67.7498285714286,40.1327142857143,19.2607285714286,25.6147,60.0,,,,,342074
2025-08-31,202536,447.0,447,447.0,447,0.97183293,61.61956,0,3,354990420253620425,2025-12-03,,1.1409584,725419,13.5262857142857,88.5806857142857,0,1,1,67.7057,41.7335285714286,18.8131714285714,24.8374571428571,46.0,,,,,342074
2025-08-24,202535,418.0,418,418.0,418,0.9900068,57.621872,0,3,354990420253520425,2025-12-03,,1.1826239,725419,14.9347142857143,93.9816142857143,0,1,1,77.0279714285714,53.0539142857143,18.5143,23.5683714285714,39.0,,,,,342074
2025-08-17,202534,420.0,420,420.0,420,0.99936473,57.897575,0,1,354990420253420425,2025-12-03,,1.2658529,725419,13.8956571428571,85.4518142857143,0,1,1,65.0353714285714,36.8894714285714,19.7569142857143,26.9003428571429,28.0,,,,,342074
2025-08-10,202533,331.0,331,331.0,331,0.45014185,45.628803,0,1,354990420253320425,2025-12-03,,0.9903366,725419,9.4262,92.3893857142857,0,0,1,74.1739142857143,47.1230285714286,13.6959571428571,19.7660714285714,29.0,,,,,342074
2025-08-03,202532,321.0,321,321.0,321,0.13924894,44.25029,0,1,354990420253220425,2025-12-03,,0.9196918,725419,11.4309714285714,89.4705142857143,0,0,1,70.7829,44.9698285714286,16.1973,21.8069142857143,36.0,,,,,342074
2025-07-27,202531,332.0,332,332.0,332,0.061401464,45.766655,0,1,354990420253120425,2025-12-03,,0.89023584,725419,9.3484,87.5137142857143,0,0,1,68.6186285714286,41.8530428571429,14.8937,21.5528142857143,44.0,,,,,342074
2025-07-20,202530,352.0,352,352.0,352,0.04139905,48.52368,0,1,354990420253020425,2025-12-03,,0.8810756,725419,11.3458857142857,93.9252,0,0,1,77.1422285714286,49.4506571428571,16.0301285714286,22.2481285714286,32.0,,,,,342074
2025-07-13,202529,353.0,353,353.0,353,0.0035678546,48.661533,0,1,354990420252920425,2025-12-03,,0.8245844,725419,9.40991428571429,90.8839428571429,0,0,1,69.5160428571429,41.6002571428571,15.0262,21.2727714285714,27.0,,,,,342074
2025-07-06,202528,441.0,441,441.0,441,0.05514887,60.792454,0,1,354990420252820425,2025-12-03,,0.90058357,725419,10.4856857142857,97.0397428571429,0,0,1,78.9902571428571,52.1168571428571,14.4197571428571,19.6671714285714,46.0,,,,,342074
2025-06-29,202527,371.0,371,371.0,371,4.4070303e-11,51.142857,0,4,354990420252720425,2025-12-03,,0.6519911,725419,12.2234857142857,94.1092571428571,0,0,1,84.4789428571429,66.7286571428571,14.8100285714286,18.5617428571429,34.0,,,,,342074
2025-06-22,202526,494.0,494,494.0,494,1.676387e-08,68.09857,0,4,354990420252620425,2025-12-03,,0.72331864,725419,11.5414714285714,89.8373857142857,0,0,2,74.8771285714286,50.4464142857143,16.2411142857143,22.6787571428571,69.0,,,,,342074
2025-06-15,202525,595.0,595,595.0,595,1.3100632e-14,82.02156,0,4,354990420252520425,2025-12-03,,0.6706911,725419,9.77032857142857,88.4556571428571,0,0,2,71.9372714285714,47.8988571428571,15.8423142857143,22.7122,66.0,,,,,342074
2025-06-08,202524,573.0,573,573.0,573,0.0,78.98883,0,4,354990420252420425,2025-12-03,,0.49548006,725419,11.1011142857143,95.6071285714286,0,0,2,83.7810428571429,63.6779571428571,14.1412285714286,18.0668285714286,84.0,,,,,342074
2025-06-01,202523,894.0,894,894.0,894,0.0,123.23912,0,4,354990420252320425,2025-12-03,,0.6231665,725419,13.2367285714286,96.0640142857143,0,0,2,82.6568428571429,60.6385428571429,17.3432428571429,22.5754714285714,144.0,,,,,342074
2025-05-25,202522,1122.0,1122,1122.0,1122,0.0,154.66924,0,4,354990420252220425,2025-12-03,,0.6887721,725419,12.3642142857143,90.1092428571429,0,0,2,75.1701142857143,51.8407,16.9495285714286,22.6814571428571,169.0,,,,,342074
2025-05-18,202521,1487.0,1487,1487.0,1487,0.00018929163,204.98499,0,4,354990420252120425,2025-12-03,,0.8813567,725419,14.1516714285714,92.5122571428571,0,0,2,77.3917857142857,58.5712,18.5960714285714,23.0703142857143,249.0,,,,,342074
2025-05-11,202520,1739.0,1739,1739.0,1739,0.8923865,239.72353,0,4,354990420252020425,2025-12-03,,1.0433873,725419,13.4187714285714,95.5475571428571,0,0,2,81.4256571428571,59.5587285714286,17.0241,21.4607571428571,272.0,,,,,342074
2025-05-04,202519,1728.0,1728,1728.0,1728,0.9555522,238.20715,0,4,354990420251920425,2025-12-03,,1.0604851,725419,14.0512571428571,91.8219571428571,0,1,2,75.6745857142857,50.9340857142857,19.1068142857143,24.9255857142857,302.0,,,,,342074
2025-04-27,202518,1650.0,1650,1650.0,1650,0.8725847,227.45476,0,4,354990420251820425,2025-12-03,,1.0408503,725419,14.9750714285714,96.7332285714286,0,0,2,82.3355428571429,59.4433857142857,18.3778285714286,22.6874,307.0,,,,,342074
2025-04-20,202517,1673.0,1673,1673.0,1673,0.97095376,230.62534,0,4,354990420251720425,2025-12-03,,1.0688807,725419,16.6480571428571,96.4144571428571,0,1,2,86.2720428571429,69.5373142857143,19.1323285714286,22.6235,339.0,,,,,342074
2025-04-13,202516,1566.0,1566,1566.0,1566,0.3945648,215.87524,0,4,354990420251620425,2025-12-03,,0.9905118,725419,16.8759571428571,95.8276714285714,0,0,2,82.9252285714286,64.9573142857143,20.4015714285714,24.6334142857143,320.0,,,,,342074
2025-04-06,202515,1542.0,1542,1542.0,1542,0.1552532,212.5668,0,4,354990420251520425,2025-12-03,,0.96445674,725419,15.4034571428571,94.8909,0,0,2,81.8735428571429,63.4501142857143,19.0116857142857,23.4463,330.0,,,,,342074
2025-03-30,202514,1594.0,1594,1594.0,1594,0.55033034,219.73508,0,4,354990420251420425,2025-12-03,,1.0044953,725419,18.6283,95.3344857142857,1,0,2,84.3351428571429,67.3065428571429,21.6689,25.4155714285714,284.0,,,,,342074
2025-03-23,202513,1624.0,1624,1624.0,1624,0.90188783,223.87062,0,4,354990420251320425,2025-12-03,,1.0469391,725419,17.5583142857143,95.0912714285714,0,0,2,81.1396285714286,62.1700142857143,21.7272857142857,26.2937428571429,348.0,,,,,342074
2025-03-16,202512,1619.0,1619,1619.0,1619,0.93477595,223.18137,0,4,354990420251220425,2025-12-03,,1.0553454,725419,17.7635571428571,96.5241714285714,0,0,2,84.3798428571429,66.9127857142857,20.8759714285714,24.7803571428571,418.0,,,,,342074
2025-03-09,202511,1544.0,1544,1544.0,1544,0.4626971,212.84251,0,4,354990420251120425,2025-12-03,,0.9966387,725419,19.4983857142857,95.9974428571429,1,0,2,81.1766,59.9984,23.0922857142857,27.7181428571429,348.0,,,,,342074
2025-03-02,202510,1504.0,1504,1504.0,1504,0.3438079,207.32846,0,4,354990420251020425,2025-12-03,,0.98549885,725419,18.0042714285714,92.5675857142857,1,0,2,70.0857285714286,41.9574857142857,23.4399857142857,29.0996857142857,323.0,,,,,342074
2025-02-23,202509,1564.0,1564,1564.0,1564,0.9994755,215.59953,0,4,354990420250920425,2025-12-03,,1.1283553,725419,18.4151857142857,93.9798142857143,1,1,2,72.9275428571429,46.5259,23.7852857142857,28.9904142857143,232.0,,,,,342074
2025-02-16,202508,1631.0,1631,1631.0,1631,1.0,224.83557,0,4,354990420250820425,2025-12-03,,1.3943515,725419,20.1131142857143,92.7047857142857,1,1,2,76.4870857142857,56.8421285714286,24.6095142857143,29.1742571428571,134.0,,,,,342074
2025-02-09,202507,1448.0,1448,1448.0,1448,1.0,199.60878,0,4,354990420250720425,2025-12-03,,1.486228,725419,18.9396714285714,93.8631571428571,1,1,2,77.5068142857143,55.6886571428571,23.2725857142857,27.9576142857143,180.0,,,,,342074
2025-02-02,202506,1131.0,1131,1131.0,1131,1.0,155.9099,0,4,354990420250620425,2025-12-03,,1.3637583,725419,19.4619428571429,94.1834,1,1,2,81.6348142857143,63.3517714285714,23.1286,27.0745571428571,151.0,,,,,342074
2025-01-26,202505,962.0,962,962.0,962,1.0,132.613,0,4,354990420250520425,2025-12-03,,1.3181485,725419,19.8162142857143,96.7301428571429,1,1,2,89.3995714285714,77.6926857142857,21.9261,24.6653142857143,137.0,,,,,342074
2025-01-19,202504,817.0,817,817.0,817,0.9999899,112.624565,0,4,354990420250420425,2025-12-03,,1.2497989,725419,19.8965857142857,91.282,1,1,2,75.6011857142857,58.6013142857143,24.5109428571429,28.9037,118.0,,,,,342074
2025-01-12,202503,700.0,700,700.0,700,0.99988264,96.49596,0,4,354990420250320425,2025-12-03,,1.2299716,725419,17.9848142857143,93.9964714285714,0,1,2,81.6609714285714,65.0171571428571,21.2488714285714,25.2415428571429,64.0,,,,,342074
2025-01-05,202502,697.0,697,697.0,697,1.0,96.082405,0,4,354990420250220425,2025-12-03,,1.3722837,725419,17.6798142857143,95.7794571428571,0,1,2,82.5213,64.4236142857143,21.0208285714286,25.2379714285714,77.0,,,,,342074
2024-12-29,202501,559.0,559,559.0,559,0.93553585,77.058914,0,2,354990420250120425,2025-12-03,,1.0973712,725419,18.0405428571429,94.7348285714286,1,0,2,82.5887428571429,65.3971857142857,21.8218285714286,26.4286285714286,48.0,,,,,342074
2024-12-22,202452,456.0,456,456.0,456,0.0017693321,62.86022,0,4,354990420245220425,2025-12-03,,0.831621,725419,19.3304571428571,95.1886285714286,1,0,1,86.3039,73.7151428571429,21.7503714285714,24.8384,29.0,,,,,342074
2024-12-15,202451,495.0,495,495.0,495,0.0014833105,68.23643,0,4,354990420245120425,2025-12-03,,0.83488625,725419,18.2247,93.1933428571429,1,0,2,77.5887571428571,55.9006285714286,22.0782428571429,26.7548142857143,27.0,,,,,342074
